TIMESTAMP_1,Ta_1_1_1,RH_1_1_1,PPFD_1_1_1,Rn_1_1_1,SWout_1_1_1,LWout_1_1_1,Ts_3_1_1,Ts_3_2_1,SWC_3_1_1,SWC_3_2_1,SHF_1_1_1,SHF_1_1_2,SHF_2_1_1,SHF_2_1_2,P_1_1_1,Rg_1_1_1,LWin_1_1_1
yyyy-mm-dd HHMM,C,%,umol+1m-2s-1,W+1m-2,W+1m-2,W+1m-2,C,C,m3 m-3,m3 m-3,W+1m-2,W+1m-2,W+1m-2,W+1m-2,mm,W+1m-2,W+1m-2
2024-12-02 1600,-5.506,64.54966667,113.1466667,1.483671,16.77147,298.9919,1.27809,1.545226,0.5430048,0.4306306,-8.869791,-10.41932,-9.477432,-10.1654,0,77.12259,240.1245
2024-12-02 1630,-5.84,66.47933333,33.12,-17.66887,14.15125,295.2327,1.176468,1.449499,0.5431614,0.4306064,-8.823598,-10.35143,-9.640595,-9.981632,0,55.13243,236.5826
2024-12-02 1700,-6.285,68.48133333,2.72,-42.90939,4.656797,290.0016,1.134458,1.407471,0.543263,0.4305992,-8.895851,-10.33768,-9.794635,-9.889138,0,14.52966,237.2193
2024-12-02 1730,-6.979666667,71.84533333,0,-60.43447,1.154009,280.4768,1.128129,1.404024,0.5433787,0.4305601,-9.047252,-10.39305,-9.898266,-9.881076,0,-2.28978,223.4861
2024-12-02 1800,-7.766333333,75.80333333,0.016666667,-61.15693,0.9766804,271.512,1.13882,1.415766,0.5433826,0.4305244,-9.249147,-10.49146,-10.029,-9.939788,0,-3.601743,214.9335
2024-12-02 1830,-8.721666667,79.34033333,0.026666667,-57.39572,1.539668,268.8457,1.074412,1.349731,0.5433213,0.4305102,-9.512019,-10.65826,-10.22819,-10.06054,0,-2.73243,215.7221
2024-12-02 1900,-8.986,80.998,0,-48.20894,1.420305,268.8045,0.9909118,1.270415,0.543237,0.4304703,-9.824117,-10.91087,-10.48477,-10.23881,0,-1.640532,223.6564
2024-12-02 1930,-9.043,81.253,0,-45.84294,1.13162,272.1667,0.9050911,1.186008,0.5431204,0.4304446,-10.15396,-11.14209,-10.78523,-10.46152,0,-1.795652,229.251
2024-12-02 2000,-9.565333333,84.04666667,0,-58.57751,1.035807,267.8521,0.8851551,1.162896,0.5429756,0.4304232,-10.43343,-11.31748,-11.08923,-10.71061,0,-2.951588,213.262
2024-12-02 2030,-9.016666667,83.89,0,-38.95863,1.701307,272.9038,0.8516122,1.119217,0.5428867,0.4304076,-10.65418,-11.48916,-11.37689,-10.96216,0,-1.166977,236.8135
2024-12-02 2100,-9.222666667,83.91,0,-41.6382,1.229206,278.9051,0.7351711,1.00764,0.54273,0.4303726,-10.83821,-11.65267,-11.64921,-11.21602,0,-1.476739,239.9728
2024-12-02 2130,-9.354333333,85.26666667,0,-56.77258,0.6731342,271.8679,0.7905931,1.051654,0.5425734,0.4303413,-10.9579,-11.75681,-11.86274,-11.44481,0,-3.104232,218.8727
2024-12-02 2200,-9.682666667,87.02666667,0,-55.89237,1.151336,270.7982,0.7860314,1.034598,0.5423381,0.4303178,-11.04735,-11.85442,-12.04225,-11.64417,0,-2.609194,218.6663
2024-12-02 2230,-9.011666667,86.86333333,0,-36.04973,1.258648,272.5905,0.7530572,0.9909347,0.5421919,0.4302936,-11.13426,-11.95419,-12.21487,-11.84008,0,-1.401143,239.2006
2024-12-02 2300,-8.231,85.13,0,-27.17305,1.314326,280.5786,0.6483914,0.8889769,0.542052,0.4302701,-11.22166,-12.05979,-12.38174,-12.02655,0,-0.7421558,255.4621
2024-12-02 2330,-7.897666667,83.24,0,-15.10763,0.9007801,284.5255,0.6296124,0.8663507,0.5418766,0.4302267,-11.26662,-12.11389,-12.49742,-12.19205,0,-0.2567072,270.5753
2024-12-03 0000,-7.618666667,82.06666667,0,-13.76385,0.6122276,286.1899,0.640554,0.8689467,0.5416753,0.4302109,-11.26456,-12.13614,-12.55114,-12.31144,0,-0.4211946,273.4594
2024-12-03 0030,-7.476,81.63333333,0.003333333,-14.00132,0.5954481,286.8427,0.6647463,0.8831174,0.5414904,0.4301932,-11.21953,-12.10934,-12.5548,-12.38165,0,-0.4937317,273.9305
2024-12-03 0100,-7.442333333,81.43333333,0.003333333,-13.89785,0.7568408,287.8051,0.6719844,0.8797155,0.5413411,0.4301547,-11.16095,-12.0492,-12.53067,-12.41348,0,-0.4488394,275.1129
2024-12-03 0130,-7.357333333,83.03333333,0.006666667,-13.28469,0.6542685,288.1187,0.6693422,0.8665944,0.541209,0.4301298,-11.09036,-11.97874,-12.48808,-12.41672,0,-0.4437389,275.9321
2024-12-03 0200,-7.286333333,84.41666667,0,-13.55246,0.4288223,287.8048,0.6687405,0.8565594,0.5409828,0.4301013,-11.0013,-11.90425,-12.43549,-12.39486,0,-0.5474406,275.2286
2024-12-03 0230,-7.364,83.72,0.01,-13.15574,0.4331034,287.9195,0.6700674,0.8495911,0.5409097,0.4300721,-10.90222,-11.8562,-12.38192,-12.36059,0,-0.485774,275.6826
2024-12-03 0300,-8.181,86.17333333,0.036666667,-30.90976,0.4812746,285.1113,0.6876946,0.8593777,0.5408193,0.4300493,-10.81728,-11.8051,-12.33617,-12.32699,0,-1.512913,256.1957
2024-12-03 0330,-9.042333333,88.50333333,0.026666667,-56.19701,0.731075,276.3696,0.7514239,0.9066991,0.5406787,0.4300115,-10.7619,-11.77163,-12.30678,-12.29799,0,-3.057522,223.9612
2024-12-03 0400,-9.122,89.41,0.006666667,-60.5179,1.145429,270.9369,0.7709953,0.9145266,0.5405608,0.429983,-10.76415,-11.79161,-12.34072,-12.3108,0,-3.218372,214.7828
2024-12-03 0430,-8.990666667,89.88,0,-56.16158,1.578727,266.7352,0.7278228,0.86934,0.5404618,0.4299503,-10.82902,-11.86475,-12.43899,-12.38978,0,-2.334953,214.4874
2024-12-03 0500,-9.733666667,90.32333333,0,-51.70029,1.825794,267.1082,0.6634369,0.8067817,0.5403385,0.4299197,-10.93677,-11.96345,-12.56089,-12.51426,0,-1.801797,219.0356
2024-12-03 0530,-9.707333333,89.20333333,0,-53.77325,1.799133,272.6792,0.5862839,0.7344877,0.5401932,0.4298962,-11.06171,-12.09773,-12.6995,-12.66409,0,-2.390739,223.0959
2024-12-03 0600,-9.234,88.27,0,-55.29964,1.203405,273.3978,0.5420172,0.6857726,0.5400447,0.4298606,-11.15708,-12.20665,-12.83947,-12.82279,0,-3.059179,222.3608
2024-12-03 0630,-9.146333333,88,0,-57.78562,1.651028,274.4831,0.5302286,0.6635519,0.5398987,0.4298349,-11.21268,-12.27533,-12.95978,-12.96067,0,-2.606038,220.9545
2024-12-03 0700,-9.542,88.62333333,1.643333333,-60.30716,1.156236,274.4491,0.5193281,0.6430719,0.5397535,0.4298072,-11.25095,-12.30875,-13.05148,-13.07714,0,-3.091692,218.3899
2024-12-03 0730,-8.999,87.49666667,29.61666667,-60.21478,1.532529,273.116,0.522194,0.6321227,0.5396154,0.429758,-11.27823,-12.34903,-13.12082,-13.17321,0,-1.926851,216.3606
2024-12-03 0800,-7.875333333,84.69333333,126.3466667,-43.11713,5.598999,275.6267,0.4912561,0.5951371,0.5394647,0.4297132,-11.30471,-12.38344,-13.17895,-13.25656,0,21.7468,216.3618
2024-12-03 0830,-6.716,81.55266667,275.0666667,20.17182,20.01479,281.7964,0.4278286,0.5395883,0.5392732,0.4297025,-11.32491,-12.40141,-13.22933,-13.33008,0,103.842,218.1411
